Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
26,744	53,715		
26,765	62,606		
26,782	52,233		
26,799	47,232		
26,816	47,417		
26,826	54,456		
26,837	51,122		
26,848	47,973		
26,86	38,341		
26,877	38,897		
26,888	56,864		
26,899	65,384		
26,917	66,866		
26,933	66,31		
26,945	67,051		
26,955	62,05		
26,967	59,271		
26,98	55,382		
26,992	40,749		
27,005	32,414		
27,022	52,048		
27,032	60,753		
27,043	56,308		
27,054	55,567		
27,064	48,158		
27,076	38,341		
27,087	40,008		
27,099	41,12		
27,11	35,748		
27,122	40,749		
27,133	65,754		
27,144	61,124		
27,154	75,386		
27,172	70,941		
27,183	65,754		
27,194	65,013		
27,204	67,421		
27,215	58,716		
27,227	62,42		
27,237	58,345		
27,248	58,345		
27,261	57,79		
27,273	59,457		
27,285	54,826		
27,297	52,048		
27,308	55,382		
27,319	45,009		
27,33	36,304		
27,34	32,229		
27,351	43,528		
27,364	51,677		
27,378	50,751		
27,39	43,342		
27,404	53,9		
27,417	51,677		
27,43	47,973		
27,441	40,193		
27,453	39,638		
27,465	53,159		
27,476	47,232		
27,486	36,489		
27,497	26,302		
27,509	27,043		
27,52	44,268		
27,531	61,679		
27,544	58,345		
27,556	29,265		
27,57	34,266		
27,581	56,493		
27,591	56,493		
27,604	62,606		
27,616	46,121		
27,627	55,937		
27,637	51,492		
27,65	47,973		
27,661	54,27		
27,674	47,232		
27,684	46,491		
27,695	50,751		
27,706	28,339		
27,719	34,266		
27,73	37,786		
27,741	40,749		
27,753	43,713		
27,765	49,084		
27,779	41,675		
27,792	29,451		
27,805	31,488		
27,817	42,601		
27,828	44,454		
27,839	46,491		
27,849	53,715		
27,861	50,01		
27,873	49,084		
27,884	45,565		
27,897	30,377		
27,91	33,34		
27,922	49,455		
27,933	54,085		
27,944	43,157		
27,957	42,972		
27,968	31,673		
27,98	21,856		
27,992	24,079		
28,004	32,599		
28,017	39,453		
28,03	47,047		
28,043	50,196		
28,056	49,084		
28,07	39,453		
28,083	49,455		
28,096	57,975		
28,107	57,975		
28,117	41,86		
28,128	38,526		
28,142	36,304		
28,155	30,932		
28,172	20,56		
28,185	27,228		
28,198	42,416		
28,212	37,415		
28,227	40,193		
28,241	36,304		
28,254	36,304		
28,267	47,788		
28,28	55,197		
28,293	58,16		
28,305	48,529		
28,317	43,342		
