Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
0	-4,816		
0	-37,6		
0,006	-32,229		
0,018	-28,71		
0,029	-34,637		
0,04	-30,932		
0,05	-27,228		
0,062	-16,67		
0,074	-22,412		
0,087	-15,188		
0,099	-16,3		
0,11	-13,336		
0,121	-18,337		
0,133	-30,377		
0,146	-29,265		
0,16	-27,598		
0,172	-22,412		
0,185	-30,006		
0,199	-39,082		
0,213	-34,822		
0,228	-22,042		
0,24	-23,153		
0,253	-23,709		
0,264	-8,335		
0,276	-8,52		
0,286	-17,226		
0,298	-2,408		
0,309	-3,334		
0,321	-8,335		
0,332	-8,335		
0,342	-12,41		
0,353	-16,67		
0,364	-8,335		
0,377	-0,185		
0,391	6,668		
0,41	9,632		
0,426	15,929		
0,443	22,968		
0,454	13,707		
0,465	14,633		
0,474	19,263		
0,484	19,634		
0,495	18,152		
0,505	23,338		
0,517	21,301		
0,527	20,004		
0,537	23,523		
0,548	19,634		
0,559	13,707		
0,572	7,779		
0,582	8,52		
0,593	7,965		
0,603	7,224		
0,616	22,412		
0,628	25,19		
0,642	26,302		
0,652	36,674		
0,67	42,972		
0,681	46,676		
0,692	47,232		
0,702	42,787		
0,713	44,083		
0,723	46,862		
0,733	50,381		
0,744	48,899		
0,754	42,601		
0,765	32,229		
0,776	32,599		
0,786	32,785		
0,796	26,857		
0,807	24,449		
0,82	26,302		
0,83	42,046		
0,84	47,047		
0,851	44,083		
0,862	42,231		
0,872	42,231		
0,882	45,565		
0,894	40,008		
0,907	48,343		
0,921	51,122		
0,932	55,382		
0,945	75,201		
0,956	81,313		
0,974	82,61		
0,984	83,165		
0,995	74,46		
1,006	71,126		
1,017	82,239		
1,028	88,537		
1,038	82,054		
1,049	72,608		
1,06	66,866		
1,071	58,901		
1,082	58,345		
1,093	65,754		
1,105	70,385		
1,117	76,127		
1,129	100,206		
1,148	100,762		
1,158	97,428		
1,168	97,242		
1,177	96,687		
1,188	99,465		
1,199	100,391		
1,21	100,947		
1,222	82,239		
1,232	81,869		
1,242	87,611		
1,253	97,798		
1,264	104,651		
1,274	98,724		
1,285	97,428		
1,298	96,872		
1,31	90,945		
1,323	90,574		
1,333	112,986		
1,347	123,914		
1,361	120,58		
1,373	124,841		
1,385	124,285		
1,395	125,026		
1,407	118,913		
1,418	117,617		
1,428	125,026		
1,438	120,025		
1,45	123,729		
1,462	127,804		
1,474	132,805		
1,486	143,919		
1,498	146,327		
1,508	148,549		
1,52	152,068		
1,53	155,773		
1,541	137,251		
1,551	127,063		
1,561	121,321		
1,571	120,766		
1,581	125,581		
1,592	133,917		
1,603	145,215		
1,615	149,105		
1,625	150,772		
1,637	159,477		
1,651	157,81		
1,663	154,106		
1,677	148,734		
1,69	143,178		
1,702	157,069		
1,718	162,07		
