Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
0	12,41		
0	14,818		
0,006	1,482		
0,024	-8,52		
0,043	-8,335		
0,053	-6,483		
0,066	-4,631		
0,078	-16,114		
0,095	-20,004		
0,112	-18,152		
0,122	-11,669		
0,133	5,927		
0,143	15,559		
0,156	5,557		
0,169	-1,111		
0,181	0,185		
0,193	0,185		
0,203	-6,483		
0,215	9,817		
0,226	16,67		
0,243	17,411		
0,256	27,228		
0,269	32,044		
0,288	25,746		
0,299	28,154		
0,309	30,006		
0,322	22,412		
0,336	1,852		
0,346	-8,706		
0,36	-4,075		
0,372	2,778		
0,383	4,445		
0,394	3,704		
0,405	10,187		
0,416	32,229		
0,428	31,488		
0,44	38,897		
0,452	30,377		
0,464	39,082		
0,474	34,452		
0,485	22,968		
0,496	28,524		
0,507	29,265		
0,521	37,786		
0,532	31,303		
0,543	20,189		
0,553	16,485		
0,566	17,596		
0,578	23,894		
0,591	15,559		
0,603	15,188		
0,616	27,228		
0,626	26,487		
0,638	31,858		
0,65	43,528		
0,668	33,711		
0,678	33,711		
0,688	30,191		
0,698	45,935		
0,71	52,789		
0,727	55,011		
0,738	52,233		
0,748	46,306		
0,757	49,64		
0,77	44,639		
0,782	45,75		
0,793	48,714		
0,804	39,638		
0,816	36,859		
0,827	35,563		
0,838	32,414		
0,848	25,746		
0,859	38,526		
0,872	34,452		
0,884	34,081		
0,898	45,565		
0,914	55,752		
0,928	51,492		
0,941	63,902		
0,954	68,162		
0,973	72,052		
0,985	75,756		
0,996	70,385		
1,006	70,385		
1,018	74,275		
1,028	72,608		
1,038	75,756		
1,05	77,423		
1,061	74,46		
1,075	66,125		
1,085	69,644		
1,097	71,496		
1,108	63,717		
1,121	69,829		
1,132	72,052		
1,143	71,496		
1,153	69,459		
1,163	69,829		
1,174	65,754		
1,185	65,384		
1,194	64,273		
1,204	67,792		
1,216	69,829		
1,227	76,682		
1,238	75,942		
1,248	67,051		
1,259	80,202		
1,272	81,684		
1,282	80,572		
1,292	87,611		
1,304	94,279		
1,323	103,169		
1,333	103,169		
1,343	97,057		
1,353	87,425		
1,365	90,759		
1,377	96,872		
1,387	105,577		
1,401	96,687		
1,413	92,612		
1,423	86,499		
1,433	80,943		
1,446	70,385		
1,457	69,459		
1,47	79,831		
1,483	83,906		
1,496	91,5		
1,506	92,426		
1,518	94,834		
1,529	107,985		
1,54	107,244		
1,55	103,355		
1,562	115,95		
1,573	122,803		
1,585	114,653		
1,597	94,093		
1,607	82,424		
